,"HI_UPTAKE","OUTCOME","SCHOOLS","AS","SS","MC","CCY","TI","SP","CW","SBI","LI","AD","SM","OHC","HC","PHC"
"Västernorrland",1,"0.84",2,1,0,0,0,0,0,0,1,0,0,0,0,0,1
"Jämtland",1,"0.82",2,1,0,0,0,0,0,1,1,0,1,0,0,0,1
"Värmland",1,"0.82",2,1,0,0,0,0,0,0,1,1,0,0,0,0,1
"Jönköping",1,"0.65",2,1,0,0,1,0,0,1,1,1,1,1,0,0,1
"Öbrero",1,"0.75",1,0,1,1,0,0,0,0,1,1,1,0,0,0,1
"Dalarna",1,"0.68",1,0,1,1,0,0,0,0,0,1,1,0,0,0,1
"Halland",1,"0.68",1,0,1,1,0,0,0,1,0,1,1,1,1,0,1
"Västerbotten",0,"0.60",1,0,1,0,1,1,0,1,0,1,1,0,0,0,1
"Skåne",0,"0.59",1,0,1,1,1,0,0,1,1,1,1,1,1,1,1
"Västmanland",0,"0.55",1,0,1,0,1,0,0,0,1,1,1,0,0,0,1
"Stockholm",0,"0.54",1,0,1,0,0,0,0,0,1,1,1,1,0,0,1
"Västra Götaland",0,"0.52",1,0,1,0,1,1,0,0,0,1,1,1,0,0,1
"Östergötland",0,"0.60",0,0,0,0,1,0,1,1,0,1,1,0,0,0,1
"Kalmar",0,"0.59",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"Norrbotten",0,"0.58",0,0,0,1,0,0,0,0,1,1,1,1,0,0,1
"Gävleborg",0,"0.55",0,0,0,1,0,0,0,1,0,1,1,0,0,0,1
"Blekinge",0,"0.53",0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
"Kronoberg",0,"0.53",0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
"Södermanland",0,"0.53",0,0,0,0,1,0,1,1,1,1,1,0,0,0,1
"Gotland",0,"0.51",0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
"Uppsala",0,"0.49",0,0,0,1,1,0,1,1,0,1,1,0,0,1,1
